case:concept:name,concept:name,time:timestamp
case_0001,register,2024-01-01 08:01:00
case_0001,check,2024-01-01 08:02:00
case_0001,approve,2024-01-01 08:03:00
case_0001,notify,2024-01-01 08:04:00
case_0001,archive,2024-01-01 08:05:00
case_0002,register,2024-01-02 08:01:00
case_0002,check,2024-01-02 08:02:00
case_0002,approve,2024-01-02 08:03:00
case_0002,notify,2024-01-02 08:04:00
case_0002,archive,2024-01-02 08:05:00
case_0003,register,2024-01-03 08:01:00
case_0003,check,2024-01-03 08:02:00
case_0003,approve,2024-01-03 08:03:00
case_0003,notify,2024-01-03 08:04:00
case_0003,archive,2024-01-03 08:05:00
case_0004,register,2024-01-04 08:01:00
case_0004,request_info,2024-01-04 08:02:00
case_0004,check,2024-01-04 08:03:00
case_0004,approve,2024-01-04 08:04:00
case_0004,notify,2024-01-04 08:05:00
case_0004,archive,2024-01-04 08:06:00
case_0005,register,2024-01-05 08:01:00
case_0005,request_info,2024-01-05 08:02:00
case_0005,check,2024-01-05 08:03:00
case_0005,approve,2024-01-05 08:04:00
case_0005,notify,2024-01-05 08:05:00
case_0005,archive,2024-01-05 08:06:00
case_0006,register,2024-01-06 08:01:00
case_0006,check,2024-01-06 08:02:00
case_0006,reject,2024-01-06 08:03:00
case_0006,archive,2024-01-06 08:04:00
case_0007,register,2024-01-07 08:01:00
case_0007,check,2024-01-07 08:02:00
case_0007,reject,2024-01-07 08:03:00
case_0007,archive,2024-01-07 08:04:00
