case:concept:name,concept:name,time:timestamp
case_0001,submit,2024-01-01 08:01:00
case_0001,validate,2024-01-01 08:02:00
case_0001,approve,2024-01-01 08:03:00
case_0001,archive,2024-01-01 08:04:00
case_0002,submit,2024-01-02 08:01:00
case_0002,validate,2024-01-02 08:02:00
case_0002,approve,2024-01-02 08:03:00
case_0002,archive,2024-01-02 08:04:00
case_0003,submit,2024-01-03 08:01:00
case_0003,validate,2024-01-03 08:02:00
case_0003,approve,2024-01-03 08:03:00
case_0003,archive,2024-01-03 08:04:00
case_0004,submit,2024-01-04 08:01:00
case_0004,validate,2024-01-04 08:02:00
case_0004,approve,2024-01-04 08:03:00
case_0004,archive,2024-01-04 08:04:00
case_0005,submit,2024-01-05 08:01:00
case_0005,validate,2024-01-05 08:02:00
case_0005,approve,2024-01-05 08:03:00
case_0005,archive,2024-01-05 08:04:00
case_0006,submit,2024-01-06 08:01:00
case_0006,validate,2024-01-06 08:02:00
case_0006,approve,2024-01-06 08:03:00
case_0006,archive,2024-01-06 08:04:00
case_0007,submit,2024-01-07 08:01:00
case_0007,validate,2024-01-07 08:02:00
case_0007,reject,2024-01-07 08:03:00
case_0007,archive,2024-01-07 08:04:00
case_0008,submit,2024-01-08 08:01:00
case_0008,validate,2024-01-08 08:02:00
case_0008,reject,2024-01-08 08:03:00
case_0008,archive,2024-01-08 08:04:00
case_0009,submit,2024-01-09 08:01:00
case_0009,validate,2024-01-09 08:02:00
case_0009,reject,2024-01-09 08:03:00
case_0009,archive,2024-01-09 08:04:00
case_0010,submit,2024-01-10 08:01:00
case_0010,validate,2024-01-10 08:02:00
case_0010,reject,2024-01-10 08:03:00
case_0010,archive,2024-01-10 08:04:00
case_0011,submit,2024-01-11 08:01:00
case_0011,validate,2024-01-11 08:02:00
case_0011,reject,2024-01-11 08:03:00
case_0011,archive,2024-01-11 08:04:00
case_0012,submit,2024-01-12 08:01:00
case_0012,validate,2024-01-12 08:02:00
case_0012,reject,2024-01-12 08:03:00
case_0012,archive,2024-01-12 08:04:00
