case:concept:name,concept:name,time:timestamp
case_0001,a,2024-01-01 08:01:00
case_0001,b,2024-01-01 08:02:00
case_0001,c,2024-01-01 08:03:00
case_0002,a,2024-01-02 08:01:00
case_0002,b,2024-01-02 08:02:00
case_0002,c,2024-01-02 08:03:00
case_0003,a,2024-01-03 08:01:00
case_0003,b,2024-01-03 08:02:00
case_0003,c,2024-01-03 08:03:00
case_0004,a,2024-01-04 08:01:00
case_0004,b,2024-01-04 08:02:00
case_0004,c,2024-01-04 08:03:00
case_0005,a,2024-01-05 08:01:00
case_0005,b,2024-01-05 08:02:00
case_0005,c,2024-01-05 08:03:00
