case:concept:name,concept:name,time:timestamp
case_001,start,2024-04-01 09:01:00
case_001,assess,2024-04-01 09:02:00
case_001,approve,2024-04-01 09:03:00
case_001,notify,2024-04-01 09:04:00
case_001,close,2024-04-01 09:05:00
case_002,start,2024-04-02 09:01:00
case_002,assess,2024-04-02 09:02:00
case_002,approve,2024-04-02 09:03:00
case_002,close,2024-04-02 09:04:00
case_003,start,2024-04-03 09:01:00
case_003,assess,2024-04-03 09:02:00
case_003,request_info,2024-04-03 09:03:00
case_003,approve,2024-04-03 09:04:00
case_003,notify,2024-04-03 09:05:00
case_003,close,2024-04-03 09:06:00
case_004,start,2024-04-04 09:01:00
case_004,assess,2024-04-04 09:02:00
case_004,manual_review,2024-04-04 09:03:00
case_004,approve,2024-04-04 09:04:00
case_004,close,2024-04-04 09:05:00
case_005,start,2024-04-05 09:01:00
case_005,assess,2024-04-05 09:02:00
case_005,reject,2024-04-05 09:03:00
case_005,close,2024-04-05 09:04:00
case_006,start,2024-04-06 09:01:00
case_006,assess,2024-04-06 09:02:00
case_006,request_info,2024-04-06 09:03:00
case_006,manual_review,2024-04-06 09:04:00
case_006,reject,2024-04-06 09:05:00
case_006,close,2024-04-06 09:06:00
case_007,start,2024-04-07 09:01:00
case_007,assess,2024-04-07 09:02:00
case_007,approve,2024-04-07 09:03:00
case_007,notify,2024-04-07 09:04:00
case_007,close,2024-04-07 09:05:00
case_008,start,2024-04-08 09:01:00
case_008,assess,2024-04-08 09:02:00
case_008,approve,2024-04-08 09:03:00
case_008,close,2024-04-08 09:04:00
case_009,start,2024-04-09 09:01:00
case_009,assess,2024-04-09 09:02:00
case_009,request_info,2024-04-09 09:03:00
case_009,approve,2024-04-09 09:04:00
case_009,notify,2024-04-09 09:05:00
case_009,close,2024-04-09 09:06:00
case_010,start,2024-04-10 09:01:00
case_010,assess,2024-04-10 09:02:00
case_010,manual_review,2024-04-10 09:03:00
case_010,approve,2024-04-10 09:04:00
case_010,close,2024-04-10 09:05:00
case_011,start,2024-04-11 09:01:00
case_011,assess,2024-04-11 09:02:00
case_011,reject,2024-04-11 09:03:00
case_011,close,2024-04-11 09:04:00
case_012,start,2024-04-12 09:01:00
case_012,assess,2024-04-12 09:02:00
case_012,request_info,2024-04-12 09:03:00
case_012,manual_review,2024-04-12 09:04:00
case_012,reject,2024-04-12 09:05:00
case_012,close,2024-04-12 09:06:00
