case:concept:name,concept:name,time:timestamp
case_001,start,2024-05-01 08:01:00
case_001,assess,2024-05-01 08:02:00
case_001,approve,2024-05-01 08:03:00
case_001,notify,2024-05-01 08:04:00
case_001,close,2024-05-01 08:05:00
case_002,start,2024-05-02 09:01:00
case_002,assess,2024-05-02 09:02:00
case_002,approve,2024-05-02 09:03:00
case_002,close,2024-05-02 09:04:00
case_003,start,2024-05-03 10:01:00
case_003,assess,2024-05-03 10:02:00
case_003,request_info,2024-05-03 10:03:00
case_003,approve,2024-05-03 10:04:00
case_003,notify,2024-05-03 10:05:00
case_003,close,2024-05-03 10:06:00
case_004,start,2024-05-04 11:01:00
case_004,assess,2024-05-04 11:02:00
case_004,manual_review,2024-05-04 11:03:00
case_004,approve,2024-05-04 11:04:00
case_004,close,2024-05-04 11:05:00
case_005,start,2024-05-05 12:01:00
case_005,assess,2024-05-05 12:02:00
case_005,approve,2024-05-05 12:03:00
case_005,notify,2024-05-05 12:04:00
case_005,close,2024-05-05 12:05:00
case_006,start,2024-05-06 13:01:00
case_006,assess,2024-05-06 13:02:00
case_006,approve,2024-05-06 13:03:00
case_006,close,2024-05-06 13:04:00
case_007,start,2024-05-07 14:01:00
case_007,assess,2024-05-07 14:02:00
case_007,request_info,2024-05-07 14:03:00
case_007,approve,2024-05-07 14:04:00
case_007,notify,2024-05-07 14:05:00
case_007,close,2024-05-07 14:06:00
case_008,start,2024-05-08 15:01:00
case_008,assess,2024-05-08 15:02:00
case_008,manual_review,2024-05-08 15:03:00
case_008,approve,2024-05-08 15:04:00
case_008,close,2024-05-08 15:05:00
case_009,start,2024-05-09 08:01:00
case_009,assess,2024-05-09 08:02:00
case_009,approve,2024-05-09 08:03:00
case_009,notify,2024-05-09 08:04:00
case_009,close,2024-05-09 08:05:00
case_010,start,2024-05-10 09:01:00
case_010,assess,2024-05-10 09:02:00
case_010,approve,2024-05-10 09:03:00
case_010,close,2024-05-10 09:04:00
case_011,start,2024-05-11 10:01:00
case_011,assess,2024-05-11 10:02:00
case_011,request_info,2024-05-11 10:03:00
case_011,approve,2024-05-11 10:04:00
case_011,notify,2024-05-11 10:05:00
case_011,close,2024-05-11 10:06:00
case_012,start,2024-05-12 11:01:00
case_012,assess,2024-05-12 11:02:00
case_012,manual_review,2024-05-12 11:03:00
case_012,approve,2024-05-12 11:04:00
case_012,close,2024-05-12 11:05:00
case_013,start,2024-05-13 12:01:00
case_013,assess,2024-05-13 12:02:00
