case:concept:name,concept:name,time:timestamp
case_0001,a,2024-01-01 08:01:00
case_0001,b,2024-01-01 08:02:00
case_0001,c,2024-01-01 08:03:00
case_0002,a,2024-01-02 08:01:00
case_0002,b,2024-01-02 08:02:00
case_0002,c,2024-01-02 08:03:00
case_0003,a,2024-01-03 08:01:00
case_0003,b,2024-01-03 08:02:00
case_0003,c,2024-01-03 08:03:00
case_0004,a,2024-01-04 08:01:00
case_0004,d,2024-01-04 08:02:00
case_0004,c,2024-01-04 08:03:00
case_0005,a,2024-01-05 08:01:00
case_0005,d,2024-01-05 08:02:00
case_0005,c,2024-01-05 08:03:00
case_0006,a,2024-01-06 08:01:00
case_0006,d,2024-01-06 08:02:00
case_0006,c,2024-01-06 08:03:00
case_0007,a,2024-01-07 08:01:00
case_0007,e,2024-01-07 08:02:00
case_0007,c,2024-01-07 08:03:00
case_0008,a,2024-01-08 08:01:00
case_0008,e,2024-01-08 08:02:00
case_0008,c,2024-01-08 08:03:00
case_0009,a,2024-01-09 08:01:00
case_0009,e,2024-01-09 08:02:00
case_0009,c,2024-01-09 08:03:00
