case:concept:name,concept:name,time:timestamp
case_0001,a,2024-01-01 08:01:00
case_0001,b,2024-01-01 08:02:00
case_0001,c,2024-01-01 08:03:00
case_0002,a,2024-01-02 08:01:00
case_0002,b,2024-01-02 08:02:00
case_0002,c,2024-01-02 08:03:00
case_0003,a,2024-01-03 08:01:00
case_0003,b,2024-01-03 08:02:00
case_0003,c,2024-01-03 08:03:00
case_0004,a,2024-01-04 08:01:00
case_0004,b,2024-01-04 08:02:00
case_0004,c,2024-01-04 08:03:00
case_0005,a,2024-01-05 08:01:00
case_0005,b,2024-01-05 08:02:00
case_0005,c,2024-01-05 08:03:00
case_0006,a,2024-01-06 08:01:00
case_0006,b,2024-01-06 08:02:00
case_0006,c,2024-01-06 08:03:00
case_0007,a,2024-01-07 08:01:00
case_0007,b,2024-01-07 08:02:00
case_0007,c,2024-01-07 08:03:00
case_0008,a,2024-01-08 08:01:00
case_0008,b,2024-01-08 08:02:00
case_0008,c,2024-01-08 08:03:00
case_0009,a,2024-01-09 08:01:00
case_0009,b,2024-01-09 08:02:00
case_0009,c,2024-01-09 08:03:00
case_0010,a,2024-01-10 08:01:00
case_0010,b,2024-01-10 08:02:00
case_0010,c,2024-01-10 08:03:00
case_0011,a,2024-01-11 08:01:00
case_0011,b,2024-01-11 08:02:00
case_0011,c,2024-01-11 08:03:00
case_0012,a,2024-01-12 08:01:00
case_0012,b,2024-01-12 08:02:00
case_0012,c,2024-01-12 08:03:00
case_0013,a,2024-01-13 08:01:00
case_0013,b,2024-01-13 08:02:00
case_0013,c,2024-01-13 08:03:00
case_0014,a,2024-01-14 08:01:00
case_0014,b,2024-01-14 08:02:00
case_0014,c,2024-01-14 08:03:00
case_0015,a,2024-01-15 08:01:00
case_0015,b,2024-01-15 08:02:00
case_0015,c,2024-01-15 08:03:00
case_0016,a,2024-01-16 08:01:00
case_0016,b,2024-01-16 08:02:00
case_0016,c,2024-01-16 08:03:00
case_0017,a,2024-01-17 08:01:00
case_0017,b,2024-01-17 08:02:00
case_0017,c,2024-01-17 08:03:00
case_0018,a,2024-01-18 08:01:00
case_0018,b,2024-01-18 08:02:00
case_0018,c,2024-01-18 08:03:00
case_0019,a,2024-01-19 08:01:00
case_0019,b,2024-01-19 08:02:00
case_0019,c,2024-01-19 08:03:00
case_0020,a,2024-01-20 08:01:00
case_0020,b,2024-01-20 08:02:00
case_0020,c,2024-01-20 08:03:00
case_0021,a,2024-01-21 08:01:00
case_0021,b,2024-01-21 08:02:00
case_0021,c,2024-01-21 08:03:00
case_0022,a,2024-01-22 08:01:00
case_0022,b,2024-01-22 08:02:00
case_0022,c,2024-01-22 08:03:00
case_0023,a,2024-01-23 08:01:00
case_0023,b,2024-01-23 08:02:00
case_0023,c,2024-01-23 08:03:00
case_0024,a,2024-01-24 08:01:00
case_0024,b,2024-01-24 08:02:00
case_0024,c,2024-01-24 08:03:00
case_0025,a,2024-01-25 08:01:00
case_0025,b,2024-01-25 08:02:00
case_0025,c,2024-01-25 08:03:00
case_0026,a,2024-01-26 08:01:00
case_0026,b,2024-01-26 08:02:00
case_0026,c,2024-01-26 08:03:00
case_0027,a,2024-01-27 08:01:00
case_0027,b,2024-01-27 08:02:00
case_0027,c,2024-01-27 08:03:00
case_0028,a,2024-01-28 08:01:00
case_0028,b,2024-01-28 08:02:00
case_0028,c,2024-01-28 08:03:00
case_0029,a,2024-01-01 08:01:00
case_0029,b,2024-01-01 08:02:00
case_0029,c,2024-01-01 08:03:00
case_0030,a,2024-01-02 08:01:00
case_0030,b,2024-01-02 08:02:00
case_0030,c,2024-01-02 08:03:00
case_0031,a,2024-01-03 08:01:00
case_0031,b,2024-01-03 08:02:00
case_0031,c,2024-01-03 08:03:00
case_0032,a,2024-01-04 08:01:00
case_0032,b,2024-01-04 08:02:00
case_0032,c,2024-01-04 08:03:00
case_0033,a,2024-01-05 08:01:00
case_0033,b,2024-01-05 08:02:00
case_0033,c,2024-01-05 08:03:00
case_0034,a,2024-01-06 08:01:00
case_0034,b,2024-01-06 08:02:00
case_0034,c,2024-01-06 08:03:00
case_0035,a,2024-01-07 08:01:00
case_0035,b,2024-01-07 08:02:00
case_0035,c,2024-01-07 08:03:00
case_0036,a,2024-01-08 08:01:00
case_0036,b,2024-01-08 08:02:00
case_0036,c,2024-01-08 08:03:00
case_0037,a,2024-01-09 08:01:00
case_0037,b,2024-01-09 08:02:00
case_0037,c,2024-01-09 08:03:00
case_0038,a,2024-01-10 08:01:00
case_0038,b,2024-01-10 08:02:00
case_0038,c,2024-01-10 08:03:00
case_0039,a,2024-01-11 08:01:00
case_0039,b,2024-01-11 08:02:00
case_0039,c,2024-01-11 08:03:00
case_0040,a,2024-01-12 08:01:00
case_0040,b,2024-01-12 08:02:00
case_0040,c,2024-01-12 08:03:00
case_0041,a,2024-01-13 08:01:00
case_0041,b,2024-01-13 08:02:00
case_0041,c,2024-01-13 08:03:00
case_0042,a,2024-01-14 08:01:00
case_0042,b,2024-01-14 08:02:00
case_0042,c,2024-01-14 08:03:00
case_0043,a,2024-01-15 08:01:00
case_0043,b,2024-01-15 08:02:00
case_0043,c,2024-01-15 08:03:00
case_0044,a,2024-01-16 08:01:00
case_0044,b,2024-01-16 08:02:00
case_0044,c,2024-01-16 08:03:00
case_0045,a,2024-01-17 08:01:00
case_0045,b,2024-01-17 08:02:00
case_0045,c,2024-01-17 08:03:00
case_0046,a,2024-01-18 08:01:00
case_0046,b,2024-01-18 08:02:00
case_0046,c,2024-01-18 08:03:00
case_0047,a,2024-01-19 08:01:00
case_0047,b,2024-01-19 08:02:00
case_0047,c,2024-01-19 08:03:00
case_0048,a,2024-01-20 08:01:00
case_0048,b,2024-01-20 08:02:00
case_0048,c,2024-01-20 08:03:00
case_0049,a,2024-01-21 08:01:00
case_0049,b,2024-01-21 08:02:00
case_0049,c,2024-01-21 08:03:00
case_0050,a,2024-01-22 08:01:00
case_0050,b,2024-01-22 08:02:00
case_0050,c,2024-01-22 08:03:00
case_0051,a,2024-01-23 08:01:00
case_0051,d,2024-01-23 08:02:00
case_0051,c,2024-01-23 08:03:00
case_0052,a,2024-01-24 08:01:00
case_0052,d,2024-01-24 08:02:00
case_0052,c,2024-01-24 08:03:00
case_0053,a,2024-01-25 08:01:00
case_0053,d,2024-01-25 08:02:00
case_0053,c,2024-01-25 08:03:00
case_0054,a,2024-01-26 08:01:00
case_0054,d,2024-01-26 08:02:00
case_0054,c,2024-01-26 08:03:00
case_0055,a,2024-01-27 08:01:00
case_0055,d,2024-01-27 08:02:00
case_0055,c,2024-01-27 08:03:00
case_0056,a,2024-01-28 08:01:00
case_0056,d,2024-01-28 08:02:00
case_0056,c,2024-01-28 08:03:00
case_0057,a,2024-01-01 08:01:00
case_0057,d,2024-01-01 08:02:00
case_0057,c,2024-01-01 08:03:00
case_0058,a,2024-01-02 08:01:00
case_0058,d,2024-01-02 08:02:00
case_0058,c,2024-01-02 08:03:00
case_0059,a,2024-01-03 08:01:00
case_0059,d,2024-01-03 08:02:00
case_0059,c,2024-01-03 08:03:00
case_0060,a,2024-01-04 08:01:00
case_0060,d,2024-01-04 08:02:00
case_0060,c,2024-01-04 08:03:00
case_0061,a,2024-01-05 08:01:00
case_0061,d,2024-01-05 08:02:00
case_0061,c,2024-01-05 08:03:00
case_0062,a,2024-01-06 08:01:00
case_0062,d,2024-01-06 08:02:00
case_0062,c,2024-01-06 08:03:00
case_0063,a,2024-01-07 08:01:00
case_0063,d,2024-01-07 08:02:00
case_0063,c,2024-01-07 08:03:00
case_0064,a,2024-01-08 08:01:00
case_0064,d,2024-01-08 08:02:00
case_0064,c,2024-01-08 08:03:00
case_0065,a,2024-01-09 08:01:00
case_0065,d,2024-01-09 08:02:00
case_0065,c,2024-01-09 08:03:00
case_0066,a,2024-01-10 08:01:00
case_0066,d,2024-01-10 08:02:00
case_0066,c,2024-01-10 08:03:00
case_0067,a,2024-01-11 08:01:00
case_0067,d,2024-01-11 08:02:00
case_0067,c,2024-01-11 08:03:00
case_0068,a,2024-01-12 08:01:00
case_0068,d,2024-01-12 08:02:00
case_0068,c,2024-01-12 08:03:00
case_0069,a,2024-01-13 08:01:00
case_0069,d,2024-01-13 08:02:00
case_0069,c,2024-01-13 08:03:00
case_0070,a,2024-01-14 08:01:00
case_0070,d,2024-01-14 08:02:00
case_0070,c,2024-01-14 08:03:00
case_0071,a,2024-01-15 08:01:00
case_0071,d,2024-01-15 08:02:00
case_0071,c,2024-01-15 08:03:00
case_0072,a,2024-01-16 08:01:00
case_0072,d,2024-01-16 08:02:00
case_0072,c,2024-01-16 08:03:00
case_0073,a,2024-01-17 08:01:00
case_0073,d,2024-01-17 08:02:00
case_0073,c,2024-01-17 08:03:00
case_0074,a,2024-01-18 08:01:00
case_0074,d,2024-01-18 08:02:00
case_0074,c,2024-01-18 08:03:00
case_0075,a,2024-01-19 08:01:00
case_0075,d,2024-01-19 08:02:00
case_0075,c,2024-01-19 08:03:00
case_0076,a,2024-01-20 08:01:00
case_0076,d,2024-01-20 08:02:00
case_0076,c,2024-01-20 08:03:00
case_0077,a,2024-01-21 08:01:00
case_0077,d,2024-01-21 08:02:00
case_0077,c,2024-01-21 08:03:00
case_0078,a,2024-01-22 08:01:00
case_0078,d,2024-01-22 08:02:00
case_0078,c,2024-01-22 08:03:00
case_0079,a,2024-01-23 08:01:00
case_0079,d,2024-01-23 08:02:00
case_0079,c,2024-01-23 08:03:00
case_0080,a,2024-01-24 08:01:00
case_0080,d,2024-01-24 08:02:00
case_0080,c,2024-01-24 08:03:00
case_0081,a,2024-01-25 08:01:00
case_0081,d,2024-01-25 08:02:00
case_0081,c,2024-01-25 08:03:00
case_0082,a,2024-01-26 08:01:00
case_0082,d,2024-01-26 08:02:00
case_0082,c,2024-01-26 08:03:00
case_0083,a,2024-01-27 08:01:00
case_0083,d,2024-01-27 08:02:00
case_0083,c,2024-01-27 08:03:00
case_0084,a,2024-01-28 08:01:00
case_0084,d,2024-01-28 08:02:00
case_0084,c,2024-01-28 08:03:00
case_0085,a,2024-01-01 08:01:00
case_0085,d,2024-01-01 08:02:00
case_0085,c,2024-01-01 08:03:00
case_0086,a,2024-01-02 08:01:00
case_0086,d,2024-01-02 08:02:00
case_0086,c,2024-01-02 08:03:00
case_0087,a,2024-01-03 08:01:00
case_0087,d,2024-01-03 08:02:00
case_0087,c,2024-01-03 08:03:00
case_0088,a,2024-01-04 08:01:00
case_0088,d,2024-01-04 08:02:00
case_0088,c,2024-01-04 08:03:00
case_0089,a,2024-01-05 08:01:00
case_0089,d,2024-01-05 08:02:00
case_0089,c,2024-01-05 08:03:00
case_0090,a,2024-01-06 08:01:00
case_0090,d,2024-01-06 08:02:00
case_0090,c,2024-01-06 08:03:00
case_0091,a,2024-01-07 08:01:00
case_0091,d,2024-01-07 08:02:00
case_0091,c,2024-01-07 08:03:00
case_0092,a,2024-01-08 08:01:00
case_0092,d,2024-01-08 08:02:00
case_0092,c,2024-01-08 08:03:00
case_0093,a,2024-01-09 08:01:00
case_0093,d,2024-01-09 08:02:00
case_0093,c,2024-01-09 08:03:00
case_0094,a,2024-01-10 08:01:00
case_0094,d,2024-01-10 08:02:00
case_0094,c,2024-01-10 08:03:00
case_0095,a,2024-01-11 08:01:00
case_0095,d,2024-01-11 08:02:00
case_0095,c,2024-01-11 08:03:00
case_0096,a,2024-01-12 08:01:00
case_0096,d,2024-01-12 08:02:00
case_0096,c,2024-01-12 08:03:00
case_0097,a,2024-01-13 08:01:00
case_0097,d,2024-01-13 08:02:00
case_0097,c,2024-01-13 08:03:00
case_0098,a,2024-01-14 08:01:00
case_0098,d,2024-01-14 08:02:00
case_0098,c,2024-01-14 08:03:00
case_0099,a,2024-01-15 08:01:00
case_0099,d,2024-01-15 08:02:00
case_0099,c,2024-01-15 08:03:00
case_0100,a,2024-01-16 08:01:00
case_0100,d,2024-01-16 08:02:00
case_0100,c,2024-01-16 08:03:00
