run_id,dataset_id,model_id,sample_id,sample_fraction,sample_seed,metric,metric_params_json,fitness_filter,score,lower_bound,upper_bound,exact,numerator_mass,log_numerator_mass,denominator_estimate,denominator_lower,denominator_upper,enumeration_k,tail_bound,reachability_states,dfa_states,runtime_s,core_runtime_s,peak_rss_mb,alphabet_hash,prior_hash,status,error_type,tool_version
classical-0cfc3f5eae3b,bpi_2012,model-1db9fc82dad1,,,,alignment_fitness,,,,,,,,,,,,,,,,600.0003229979993,600.0003229979993,,,,failed,TimeoutError,2.7.22.2
classical-0cfc3f5eae3b,bpi_2012,model-1db9fc82dad1,,,,alignment_precision,,,0.31498055118512924,,,,,,,,,,,,,571.591356844001,571.591356844001,,,,ok,,2.7.22.2
lmp-e15d30e7f204,bpi_2012,model-1db9fc82dad1,,,,lmp_geometric,"{""calibration_basis"":""distinct_variants"",""parameter"":0.9823840036712641,""prior"":""geometric""}",,,,,,,,,,,,,0,,17.17731839999942,17.17731839999942,,alphabet-6617954d1133,prior-b55616132271,reachability_state_limit,,2.7.22.2
lmp-22d9ef9691b4,bpi_2012,model-1db9fc82dad1,,,,lmp_power_law,"{""calibration_basis"":""distinct_variants"",""parameter"":1.1635298694951404,""prior"":""power_law""}",,,,,,,,,,,,,0,,17.543969397000183,17.543969397000183,,alphabet-6617954d1133,prior-6c70a314277b,reachability_state_limit,,2.7.22.2
classical-0cfc3f5eae3b,bpi_2012,model-1db9fc82dad1,,,,token_fitness.average_trace_fitness,,,0.9863559873058456,,,,,,,,,,,,,18.93502533300125,18.93502533300125,,,,ok,,2.7.22.2
classical-0cfc3f5eae3b,bpi_2012,model-1db9fc82dad1,,,,token_fitness.log_fitness,,,0.9760431243694092,,,,,,,,,,,,,18.93502533300125,18.93502533300125,,,,ok,,2.7.22.2
classical-0cfc3f5eae3b,bpi_2012,model-1db9fc82dad1,,,,token_fitness.perc_fit_traces,,,62.57354626728815,,,,,,,,,,,,,18.93502533300125,18.93502533300125,,,,ok,,2.7.22.2
classical-0cfc3f5eae3b,bpi_2012,model-1db9fc82dad1,,,,token_fitness.percentage_of_fitting_traces,,,62.57354626728815,,,,,,,,,,,,,18.93502533300125,18.93502533300125,,,,ok,,2.7.22.2
classical-0cfc3f5eae3b,bpi_2012,model-1db9fc82dad1,,,,token_precision,,,0.3144929179491299,,,,,,,,,,,,,250.71420918300282,250.71420918300282,,,,ok,,2.7.22.2
classical-a50c4f64f632,bpi_2012,model-320605cc0ca1,,,,alignment_fitness,,,,,,,,,,,,,,,,3600.0093685600004,3600.0093685600004,,,,failed,TimeoutError,2.7.22.2
classical-a50c4f64f632,bpi_2012,model-320605cc0ca1,,,,alignment_precision,,,0.31269274884098486,,,,,,,,,,,,,1075.4997537500021,1075.4997537500021,,,,ok,,2.7.22.2
