experiment,axiom,log,model,metric,score,time_s,status,max_trace_length,alphabet_size,num_cases,num_log_variants,num_model_variants,num_fitting_variants,num_extra_model_variants,num_missing_log_variants,playout_time_s,numerator_mass,denominator_mass,simulation_n,simulation_distribution_time_s,simulation_completed_runs,simulation_deadlocked_runs,simulation_timeout_runs,simulation_completion_rate,simulation_num_variants
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,LMP_geometric_lambda_0.7,1.0,1.7602998923393898e-05,ok,8,7,40,4,4,4,0,0,0.0007545770004071,3.63e-05,3.63e-05,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,LMP_power_law_alpha_2.0,1.0,5.175600017537363e-05,ok,8,7,40,4,4,4,0,0,0.0007545770004071,1.2242857060811296e-05,1.2242857060811296e-05,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,pm4py_precision_token_based_replay,1.0,0.0159948519994941,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,pm4py_precision_alignments,1.0,0.0376175209985376,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,pm4py_precision_footprints,1.0,0.0053525250004895,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,pm4py_fitness_token_based_replay,"{'perc_fit_traces': 25.0, 'average_trace_fitness': 0.8226190476190476, 'log_fitness': 0.8333333333333334, 'percentage_of_fitting_traces': 25.0}",0.0203560169993579,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,pm4py_fitness_alignments,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}",0.1335540549989673,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,stochastic_js_uniform,1.0,3.687900061777327e-05,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,stochastic_emd_uniform,1.0,0.000723248000213,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,stochastic_js_power_law_prior,0.7161251541321021,2.5622999601182528e-05,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,stochastic_emd_power_law_prior,0.852365229153507,0.000635249998595,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,stochastic_js_simulation_uniform_enabled,0.9999597453860409,0.0001560220007377,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,20000.0,3.028274643998884,20000.0,0.0,0.0,1.0,4.0
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_direct_equal_branches,stochastic_emd_simulation_uniform_enabled,0.9986216666666666,0.0008221129992307,ok,8,7,40,4,4,4,0,0,0.0007545770004071,,,20000.0,3.028274643998884,20000.0,0.0,0.0,1.0,4.0
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,LMP_geometric_lambda_0.7,1.0,1.865300146164373e-05,ok,8,7,40,4,4,4,0,0,0.0007814910004526,3.63e-05,3.63e-05,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,LMP_power_law_alpha_2.0,1.0,1.03109996416606e-05,ok,8,7,40,4,4,4,0,0,0.0007814910004526,1.2242857060811296e-05,1.2242857060811296e-05,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,pm4py_precision_token_based_replay,1.0,0.0297297989982325,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,pm4py_precision_alignments,1.0,0.3192817340004694,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,pm4py_precision_footprints,1.0,0.0057405670013395,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,pm4py_fitness_token_based_replay,"{'perc_fit_traces': 75.0, 'average_trace_fitness': 0.9642857142857142, 'log_fitness': 0.9666666666666667, 'percentage_of_fitting_traces': 75.0}",0.0486161340013495,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,pm4py_fitness_alignments,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 0.9999833337036955}",0.0480387059997156,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,stochastic_js_uniform,1.0,1.5994999557733536e-05,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,stochastic_emd_uniform,1.0,0.0027651480013446,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,stochastic_js_power_law_prior,0.7161251541321021,4.305499896872789e-05,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,stochastic_emd_power_law_prior,0.852365229153507,0.0013263769997138,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,,,,,,,
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,stochastic_js_simulation_uniform_enabled,0.9786691815275612,1.6633999621262774e-05,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,20000.0,3.53859198399914,20000.0,0.0,0.0,1.0,4.0
axiom4_stochastic_semantics,A4-stochastic,axiom4_stochastic_log,M_tau_unequal_simulation,stochastic_emd_simulation_uniform_enabled,0.9687583333333334,0.000741920001019,ok,8,7,40,4,4,4,0,0,0.0007814910004526,,,20000.0,3.53859198399914,20000.0,0.0,0.0,1.0,4.0
