experiment,axiom,log,model,metric,score,time_s,status,max_trace_length,alphabet_size,num_cases,num_log_variants,num_model_variants,num_fitting_variants,num_extra_model_variants,num_missing_log_variants,playout_time_s,numerator_mass,denominator_mass
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_geometric_lambda_0.3,1.0,1.693500053079333e-05,ok,10,8,7,3,3,3,0,0,0.0008043779998843,1.4381343841552733e-06,1.4381343841552733e-06
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_geometric_lambda_0.3,0.4911238178247514,3.154099977109581e-05,ok,10,8,7,3,8,3,5,0,0.002306321001015,1.4381343841552733e-06,2.928252167701721e-06
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_geometric_lambda_0.5,1.0,1.836400042520836e-05,ok,10,8,7,3,3,3,0,0,0.0007459170010406,8.13603401184082e-06,8.13603401184082e-06
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_geometric_lambda_0.5,0.4857111086400534,1.945799886016175e-05,ok,10,8,7,3,8,3,5,0,0.0036492540002655,8.13603401184082e-06,1.6750767827033997e-05
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_geometric_lambda_0.7,1.0,1.7462998584960587e-05,ok,10,8,7,3,3,3,0,0,0.0005917329999647,1.925881462097168e-05,1.925881462097168e-05
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_geometric_lambda_0.7,0.4806516124442067,1.794600029825233e-05,ok,10,8,7,3,8,3,5,0,0.0034615370004758,1.925881462097168e-05,4.0068136925697326e-05
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_geometric_lambda_0.85,1.0,3.346699850226287e-05,ok,10,8,7,3,3,3,0,0,0.0007495120007661,2.1363368234038356e-05,2.1363368234038356e-05
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_geometric_lambda_0.85,0.4770654861342785,3.0732000595889986e-05,ok,10,8,7,3,8,3,5,0,0.0038843969996378,2.1363368234038356e-05,4.478078765904531e-05
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_geometric_lambda_0.95,1.0,4.909599920210894e-05,ok,10,8,7,3,3,3,0,0,0.0021791449999,1.1263606908917437e-05,1.1263606908917437e-05
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_geometric_lambda_0.95,0.4747656922812002,1.6042999050114304e-05,ok,10,8,7,3,8,3,5,0,0.0142760170001565,1.1263606908917437e-05,2.3724559487011298e-05
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_power_law_alpha_1.2,1.0,1.212600000144448e-05,ok,10,8,7,3,3,3,0,0,0.0010939219991996,7.030803820544066e-06,7.030803820544066e-06
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_power_law_alpha_1.2,0.4781456685378616,0.0004030179989058,ok,10,8,7,3,8,3,5,0,0.00406197600023,7.030803820544066e-06,1.4704313524461713e-05
