experiment,axiom,log,model,metric,score,time_s,status,max_trace_length,alphabet_size,num_cases,num_log_variants,num_model_variants,num_fitting_variants,num_extra_model_variants,num_missing_log_variants,playout_time_s,numerator_mass,denominator_mass,simulation_n,simulation_distribution_time_s,simulation_completed_runs,simulation_deadlocked_runs,simulation_timeout_runs,simulation_completion_rate,simulation_num_variants
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,LMP_geometric_lambda_0.7,1.0,1.522999991721008e-05,ok,6,6,6,2,1,1,0,1,0.0003441480002948,0.0004763888888888,0.0004763888888888,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,LMP_power_law_alpha_2.0,1.0,8.761999197304249e-06,ok,6,6,6,2,1,1,0,1,0.0003441480002948,0.00017590483271236044,0.00017590483271236044,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,pm4py_precision_token_based_replay,0.8333333333333334,0.0607372419999592,ok,6,6,6,2,1,1,0,1,0.0003441480002948,,,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,pm4py_precision_alignments,1.0,0.0414902949996758,ok,6,6,6,2,1,1,0,1,0.0003441480002948,,,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,pm4py_precision_footprints,1.0,0.0008754709997447,ok,6,6,6,2,1,1,0,1,0.0003441480002948,,,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,pm4py_fitness_token_based_replay,"{'perc_fit_traces': 50.0, 'average_trace_fitness': 0.8333333333333334, 'log_fitness': 0.8571428571428572, 'percentage_of_fitting_traces': 50.0}",0.0321621000002778,ok,6,6,6,2,1,1,0,1,0.0003441480002948,,,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,pm4py_fitness_alignments,"{'percFitTraces': 50.0, 'averageFitness': 0.8333333333333335, 'percentage_of_fitting_traces': 50.0, 'average_trace_fitness': 0.8333333333333335, 'log_fitness': 0.8333333333333334}",0.0498208900007739,ok,6,6,6,2,1,1,0,1,0.0003441480002948,,,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,stochastic_js_uniform,0.6887218755408673,2.695700095500797e-05,ok,6,6,6,2,1,1,0,1,0.0003441480002948,,,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,stochastic_emd_uniform,0.8333333333333334,0.1097764860005554,ok,6,6,6,2,1,1,0,1,0.0003441480002948,,,,,,,,,
precision_vs_fitness_three_models,precision_vs_fitness,simple_log,M1_smaller_than_log,stochastic_js_power_law_prior,0.6887218755408673,2.7535999834071845e-05,ok,6,6,6,2,1,1,0,1,0.0003441480002948,,,,,,,,,
